,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
260,birin,26.89,88.07,11.02,71,0,2.13,NP,1604770572
261,ambovombe,-25.17,46.08,23.03,86,3,2.18,MG,1604770572
262,isangel,-19.55,169.27,24.55,84,3,3.38,VU,1604770367
263,constitucion,-35.33,-72.42,19.49,50,1,6.54,CL,1604770323
264,kruisfontein,-34.0,24.73,20.56,61,20,0.45,ZA,1604770333
265,catalina foothills,32.3,-110.92,26.67,26,75,9.3,US,1604770365
266,tiksi,71.69,128.87,-22.28,91,34,0.82,RU,1604770355
267,vila franca do campo,37.72,-25.43,17.0,67,40,5.1,PT,1604770345
268,tabou,4.42,-7.35,26.67,83,71,2.51,CI,1604770573
269,loukhi,66.08,33.04,3.39,74,85,7.74,RU,1604770573
270,hoi an,15.88,108.33,24.0,83,40,1.0,VN,1604770573
271,peterhead,57.51,-1.8,8.33,93,90,1.0,GB,1604770573
272,te anau,-45.42,167.72,4.29,90,100,2.22,NZ,1604770375
273,kawalu,-7.38,108.21,21.81,91,53,0.19,ID,1604770574
274,arraial do cabo,-22.97,-42.03,25.0,73,75,2.1,BR,1604770226
275,chulman,56.85,124.91,-19.93,90,92,2.35,RU,1604770574
276,belawan,3.78,98.68,25.64,86,100,1.78,ID,1604770574
277,araouane,18.9,-3.53,31.38,12,32,4.41,ML,1604770574
278,aykhal,66.0,111.5,-19.0,84,0,2.0,RU,1604770371
279,hami,42.8,93.45,1.99,75,58,0.81,CN,1604770361
280,collipulli,-37.95,-72.43,23.0,46,0,3.6,CL,1604770574
281,alghero,40.56,8.32,16.0,87,0,2.1,IT,1604770575
282,tocopilla,-22.09,-70.2,21.09,40,11,2.21,CL,1604770307
283,moron,-34.65,-58.62,27.22,45,10,2.24,AR,1604770359
284,laytown,53.68,-6.24,10.0,93,75,3.6,IE,1604770575
285,oranjemund,-28.55,16.43,17.51,85,21,1.8,NA,1604770575
286,kahului,20.89,-156.47,23.33,73,75,2.1,US,1604770319
287,akdepe,42.06,59.38,13.0,66,0,4.1,TM,1604770575
288,port-cartier,50.03,-66.87,1.67,59,100,4.6,CA,1604770575
289,belmonte,-15.86,-38.88,27.0,78,75,5.1,BR,1604770576
290,mitsamiouli,-11.38,43.28,26.89,73,37,3.57,KM,1604770576
291,gurgentepe,40.79,37.6,13.0,87,75,1.0,TR,1604770576
292,yazykovo,55.22,56.14,1.94,94,97,5.82,RU,1604770576
293,xining,36.62,101.77,0.46,78,0,0.96,CN,1604770336
294,leshukonskoye,64.9,45.76,1.73,88,100,3.73,RU,1604770576
295,severo-kurilsk,50.68,156.12,1.47,82,69,1.66,RU,1604770343
296,codo,-4.46,-43.89,32.95,50,50,2.18,BR,1604770576
297,pangnirtung,66.15,-65.71,-11.0,78,75,1.5,CA,1604770311
298,sambava,-14.27,50.17,24.5,85,99,5.56,MG,1604770331
299,talnakh,69.49,88.4,-8.0,85,75,4.0,RU,1604770325
300,sakakah,29.97,40.21,21.0,37,0,4.1,SA,1604770357
301,antofagasta,-23.65,-70.4,18.0,63,20,6.2,CL,1604770141
302,mach,29.86,67.33,13.86,31,0,1.25,PK,1604770578
303,inta,66.03,60.17,-0.67,97,100,5.23,RU,1604770578
304,warmbad,-28.45,18.73,19.46,51,0,9.08,NA,1604770578
305,tucurui,-3.77,-49.67,30.97,62,49,1.95,BR,1604770578
306,tecoanapa,16.52,-98.75,29.74,64,43,3.74,MX,1604770578
307,tall kayf,37.08,41.07,16.0,82,40,2.1,TR,1604770578
308,safaga,26.73,33.94,26.0,41,0,1.24,EG,1604770368
309,quatre cocos,-20.21,57.76,23.0,78,40,3.6,MU,1604770344
310,prince rupert,54.32,-130.32,4.0,76,1,2.1,CA,1604770579
311,ascension,30.22,-90.9,24.44,73,75,4.1,US,1604770579
312,cockburn town,21.46,-71.14,26.0,83,75,7.2,TC,1604770328
313,urumqi,43.8,87.6,3.0,51,0,1.0,CN,1604770443
314,belyy yar,53.6,91.39,2.0,93,43,2.0,RU,1604770579
315,svetlyy,54.67,20.13,9.0,93,90,4.0,RU,1604770458
316,thunder bay,48.4,-89.32,6.67,87,90,5.1,CA,1604770058
317,vesyegonsk,58.66,37.26,5.99,85,23,5.09,RU,1604770579
318,beaufort,5.35,115.75,25.0,94,20,0.5,MY,1604770580
319,belaya gora,68.53,146.42,-19.52,92,100,1.97,RU,1604770347
320,nacala,-14.54,40.67,25.9,79,21,4.28,MZ,1604770580
321,madang,-5.22,145.8,24.59,86,99,1.29,PG,1604770580
322,bratsk,56.13,101.61,-4.0,92,100,3.0,RU,1604770580
323,ailigandi,9.23,-78.02,30.37,63,32,4.2,PA,1604770580
324,wasilla,61.58,-149.44,-6.0,92,90,1.3,US,1604770378
325,prince george,53.92,-122.75,-3.33,68,1,4.1,CA,1604770581
326,carnduff,49.17,-101.8,1.05,83,100,6.08,CA,1604770581
327,pudozh,61.81,36.53,7.98,78,99,6.73,RU,1604770581
328,richards bay,-28.78,32.04,22.18,89,0,2.99,ZA,1604770323
329,beloha,-25.17,45.05,22.05,80,0,1.72,MG,1604770581
330,hokota,36.15,140.52,15.0,93,75,1.5,JP,1604770581
331,necochea,-38.55,-58.74,19.44,71,2,2.68,AR,1604770348
332,kumluca,36.37,30.29,19.74,38,0,3.79,TR,1604770582
333,arcachon,44.59,-1.05,16.0,82,0,1.5,FR,1604770582
334,lebedinyy,58.52,125.52,-22.29,91,100,2.75,RU,1604770582
335,mundo nuevo,18.7,-95.5,25.65,79,73,6.86,MX,1604770582
336,half moon bay,37.46,-122.43,13.0,71,1,1.5,US,1604770379
337,kafue,-15.77,28.18,29.04,21,9,3.53,ZM,1604770582
338,saint george,37.1,-113.58,16.11,38,40,9.3,US,1604770020
339,new milford,40.93,-74.02,23.89,37,1,1.5,US,1604770583
340,seoul,37.57,126.98,9.0,100,1,3.7,KR,1604770583
341,ostrovnoy,68.05,39.51,1.39,90,71,4.35,RU,1604770350
342,bandarbeyla,9.49,50.81,24.99,85,61,6.31,SO,1604770583
343,orebro,59.27,15.21,11.67,81,75,5.7,SE,1604770583
344,bulgan,48.81,103.53,-2.64,83,0,1.4,MN,1604770583
345,demerval lobao,-5.36,-42.68,32.0,55,20,2.6,BR,1604770584
346,juneau,58.3,-134.42,-3.33,85,40,2.14,US,1604770065
347,oriximina,-1.77,-55.87,33.28,52,20,3.73,BR,1604770584
348,nikolskoye,59.7,30.79,8.33,87,90,6.0,RU,1604770315
349,ribera,37.5,13.26,15.56,85,26,1.34,IT,1604770584
350,srivardhan,18.03,73.02,25.89,67,0,2.06,IN,1604770406
351,santa isabel do rio negro,-0.41,-65.02,25.02,87,100,1.92,BR,1604770584
352,luchenza,-16.01,35.31,27.08,31,91,1.12,MW,1604770584
353,chipinge,-20.19,32.62,24.68,44,5,2.69,ZW,1604770585
354,kalabo,-14.97,22.68,28.59,31,62,1.21,ZM,1604770585
355,khatanga,71.97,102.5,-20.64,88,3,5.05,RU,1604770320
356,tsiroanomandidy,-18.77,46.03,23.51,67,87,1.49,MG,1604770405
357,haines junction,60.75,-137.51,-30.0,74,0,0.5,CA,1604770390
